"Scenario","Variable","Region","Sector","Units","2025","2026","2027","2028","2029","2030"
"S04","GDPR","PAK","NA","Percentage GDP Deviation",0.0283063532114586,-0.6280890645327,-0.0274652468954332,0.0053705921301745,-0.0071614274876079,-0.0135358778177698
"S04","GDPR","BGD","NA","Percentage GDP Deviation",0.0179095203400226,-0.212749822425562,-0.008037813144914,0.0206717611931326,0.0117621491854552,0.0065923878645548
"S04","GDPR","LKA","NA","Percentage GDP Deviation",0.0097681453568647,-0.130115693440131,-0.009462063463798,-0.008489244744852,-0.0088986900086035,-0.007449038406393
"S04","GDPR","ROA","NA","Percentage GDP Deviation",0.0372090210388348,-0.814280505694838,-0.0782848216739641,-0.0108908649175783,0.0041932143452872,0.0201860373392491
"S04","GDPR","LAM","NA","Percentage GDP Deviation",0.0035372211295173,-0.175663054851504,-0.0016050385970312,0.022185309686125,0.0149312482831711,0.0102679744871013
"S04","GDPR","AFR","NA","Percentage GDP Deviation",0.0173697979727796,-0.191036571408707,0.003511782832235,0.0166261826372508,0.0084732437848217,0.0048737659868014
"S04","GDPR","MEN","NA","Percentage GDP Deviation",-0.0047715156132224,-0.106589238506323,0.0006528977602408,0.011807084732846,0.0048365994549993,0.0007384903705609
"S04","GDPR","ROW","NA","Percentage GDP Deviation",0.0028487335927854,-0.27124372218248,-0.0092411381117922,0.0144899480391966,0.0081639599939747,0.0050914864454925
"S04","INFL","USA","NA","Percentage Point Deviation",0.0006857320920872,0.0284471765983341,-0.0388776592441076,0.0126432083575878,0.0016831870517819,-0.0014508103168609
"S04","INFL","JPN","NA","Percentage Point Deviation",0.0559565556912389,0.175057458695704,-0.254966976422111,0.0176934982299315,0.0050744841786354,-0.005678482164484
"S04","INFL","EUW","NA","Percentage Point Deviation",0.0355123922400225,0.241696591588259,-0.287630806443318,0.0117534004226982,0.0082125958821067,-0.0068774875533251
"S04","INFL","AUS","NA","Percentage Point Deviation",-0.0179609896337141,0.0558371599979068,-0.0699799630345055,0.0306138792671717,0.0126663727691323,-0.0007161065445516
"S04","INFL","KOR","NA","Percentage Point Deviation",0.140513607415471,0.296576030503814,-0.445940707980697,0.0126320310613437,0.0075671111396503,-0.0138865347224737
"S04","INFL","ADV","NA","Percentage Point Deviation",-0.0102701107229208,0.061178249921312,-0.0642753580567756,0.0125624765070498,0.0054322111793681,-0.0007198637383965
"S04","INFL","CHN","NA","Percentage Point Deviation",0.0404078804855601,0.0596655316133621,-0.125576157164886,0.0200660651046292,0.0075316969493144,-0.0018241571360988
"S04","INFL","IND","NA","Percentage Point Deviation",0.115936239245684,0.347928497288308,-0.471553986744056,-0.0337883746626133,0.0164200470987197,0.0047718258262108
"S04","INFL","IDN","NA","Percentage Point Deviation",0.0491034947113889,-0.153122468975653,0.0659505362264667,0.0472066298620177,0.0082098406181785,-0.0015560692681049
"S04","INFL","PHL","NA","Percentage Point Deviation",0.0767879742776145,-0.0437660252377903,-0.04148307417422,0.0339098536348281,0.0016126295154351,-0.0079899942608819
"S04","INFL","VNM","NA","Percentage Point Deviation",0.0554365304232363,0.113907926297685,-0.205571355292378,0.0090242382913885,0.012238668056952,0.0002945729089987
"S04","INFL","THA","NA","Percentage Point Deviation",0.132035243684925,0.339081328460367,-0.46539747993819,0.0013581681784558,0.0003852204869759,-0.013320714023024
"S04","INFL","MYS","NA","Percentage Point Deviation",0.0170195605640799,0.084989211256925,-0.1328313454664,0.0338315967653102,0.0092057123467271,-0.0039594919918784
"S04","INFL","PAK","NA","Percentage Point Deviation",0.0762188529632724,0.0664454030719241,-0.144945798740892,0.01746016419375,0.0062513368449757,-0.0011478505108187
"S04","INFL","BGD","NA","Percentage Point Deviation",0.0274164813909294,0.0398940549633409,-0.0860685311240061,0.0168879036730019,0.0079340075950896,-0.0010213113618818
"S04","INFL","LKA","NA","Percentage Point Deviation",0.0814161126726276,-0.0316860312807421,-0.0428566113811257,0.0485599698599515,0.0038023620163585,-0.0096666876444829
"S04","INFL","ROA","NA","Percentage Point Deviation",0.143106888213751,0.164709904072779,-0.301919751318991,0.0167488067440047,-0.0019181505322763,-0.0181057676357455
"S04","INFL","LAM","NA","Percentage Point Deviation",0.0035289112027215,0.0639781478845691,-0.0872321040846558,0.0155037545955139,0.0060841986815774,-0.0005214093079076
"S04","INFL","AFR","NA","Percentage Point Deviation",0.0374708573737337,-0.0144474582237208,-0.0532369707425318,0.033538941775646,0.0098579571272239,-0.0024078376656078
"S04","INFL","MEN","NA","Percentage Point Deviation",-0.0439614226252161,0.0526351827772942,-0.0452525565492579,0.0477816202874237,0.0128127326547656,-0.0012788609936365
"S04","INFL","ROW","NA","Percentage Point Deviation",0.00734320982545,0.110295395450066,-0.140271653923918,0.0341004609715867,0.0076816422492243,-0.0042635754283538
